ICAO,IATA,Airport Name,Community
DXAK,,Akpaka Airport,Atakpame
DXDP,,Djangou Airport,Dapaong
DXKP,,Kolokope Airport,Anie
DXMG,,Sansanné-Mango Airport,Sansanné-Mango
DXNG,LRL,Niamtougou International Airport,Niamtougou
DXSK,,Sokode Airport,Sokode
DXXX,LFW,Lomé-Tokoin Airport,Lomé
