ICAO,IATA,Airport Name,Community
DGAA,ACC,Kotoka International Airport,Accra
DGAH,HZO,Ho Airport,Ho
DGLE,TML,Tamale Airport,Tamale
DGLN,,Navrongo Airport,Navrongo
DGLW,WZA,Wa Airport,Wa
DGLY,,Yendi Airport,Yendi
DGSI,KMS,Kumasi Airport,Kumasi
DGSN,NYI,Sunyani Airport,Sunyani
DGSO,,Obuasi Airport,Obuasi
DGTK,TKD,Takoradi Airport,Takoradi
