ICAO,IATA,Airport Name,Community,Province or Territory,Notes
EGTA,,Aylesbury Thame Airfield,Aylesbury,England,
EGTB,HYC,Wycombe Air Park/Booker Airport,High Wycombe,England,
EGTC,,Cranfield Airport,Cranfield,England,
EGTD,,Dunsfold Aerodrome,Dunsfold,England,
EGTE,EXT,Exeter International Airport,Exeter,England,
EGTF,,Fairoaks Airport,Chobham,England,
EGTG,FZO,Bristol Filton Airport,Filton,England,closed 2012
EGTH,HTF,Hatfield Aerodrome,Hatfield,England,closed 1994
EGTH,,Old Warden Aerodrome,"Old Warden, Bedfordshire",England,reallocated from Hatfield Aerodrome
EGTI,,Leavesden Aerodrome,Watford,England,closed 1990s
EGTK,OXF,Oxford Airport,Oxford,England,
EGTN,,Enstone Airfield,Enstone,England,
EGTO,RCS,"Rochester Airport, England",Rochester,England,
EGTP,,Perranporth Airfield,Perranporth,England,
EGTR,,Elstree Airfield,Watford,England,
EGTU,,Dunkeswell Aerodrome,Honiton,England,
EGTW,,Oaksey Park Airport,Oaksey,England,
EGUA,,RAF Upper Heyford,Oxfordshire,England,closed 1993
EGUB,BEX,RAF Benson,Benson,England,
EGUD,ABB,RAF Abingdon,Abingdon,England,
EGUK,,RAF Waterbeach,,,
EGUL,LKZ,RAF Lakenheath,Lakenheath,England,
EGUM,,RAF Manston,,,
EGUN,MHZ,RAF Mildenhall,Mildenhall,England,
EGUO,,Colerne Airfield,Colerne,England,
EGUP,,RAF Sculthorpe,Fakenham,England,closed in the 1990s
EGUU,,RAF Uxbridge,,,
EGUW,,RAF Wattisham,Stowmarket,England,
EGUY,QUY,RAF Wyton,St Ives,England,
EGVA,FFD,RAF Fairford,Fairford,England,
EGVB,,RAF Bawdsey,,,
EGVF,,Fleetlands Heliport,,,
EGVG,,RAF Woodbridge,,,
EGVH,,RAF Credenhill (RAF Hereford),,,
EGVI,,RAF Greenham Common,,,
EGVJ,,RAF Bentwaters,,,
EGVL,,RAF Little Rissington,Upper Rissington,England,
EGVN,BZZ,RAF Brize Norton,Brize Norton,England,
EGVO,ODH,RAF Odiham,Odiham,England,
EGVP,,AAC Middle Wallop,Andover,England,
EGVW,,RAE Bedford,,,
EGWA,ADV,RAF Andover,Andover,England,closed in the 2000s
EGWC,,RAF Cosford,Albrighton,England,
EGWE,,RAF Henlow,Henlow,England,
EGWL,,RAF North Luffenham,,,
EGWN,,RAF Halton,Halton,England,
EGWR,,RAF Croughton,,,
EGWU,NHT,RAF Northolt,Ruislip,England,
EGWZ,,RAF Alconbury,,,
EGXB,,RAF Binbrook,,,
EGXC,QCY,RAF Coningsby,Coningsby,England,
EGXD,,RAF Dishforth,North Yorkshire,England,
EGXE,,RAF Leeming,Leeming Bar,England,
EGXF,,Forest Moor,,,
EGXG,,RAF Church Fenton,Church Fenton,England,
EGXH,BEQ,RAF Honington,Thetford,England,
EGXI,,RAF Finningley,,,
EGXJ,,RAF Cottesmore,Rutland,England,closed 2012
EGXN,,RAF Newton,,,
EGXP,SQZ,RAF Scampton,Scampton,England,
EGXT,,RAF Wittering,Stamford,England,
EGXU,HRT,RAF Linton-on-Ouse,Linton-on-Ouse,England,
EGXV,,RAF Leconfield,,,
EGXW,WTN,RAF Waddington,Waddington,England,
EGXX,,RAF Donna Nook,,,
EGXY,,RAF Syerston,Newark-on-Trent,England,
EGXZ,,RAF Topcliffe,Topcliffe,England,
EGYC,CLF,RAF Coltishall,Norwich,England,closed 2006
EGYD,,RAF Cranwell,Cranwell,England,
EGYE,,RAF Barkston Heath,Grantham,England,
EGYH,,RAF Holbeach,Dawsmere,England,
EGYM,KNF,RAF Marham,Marham,England,
EGYP,,MPN,RAF Mount Pleasant,Falkland Islands,
