|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDP | LEJ  | Leipzig/Halle Airport                                                   | Leipzig/Halle                  |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDR | SCN  | Saarbrücken Airport                                                     | Saarbrücken                    |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDS | STR  | Stuttgart Echterdingen Airport                                          | Stuttgart                      |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDT | TXL  | Tegel International Airport                                             | Berlin                         |                        | closed in 2020                                                                                             |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDV | HAJ  | Hanover Airport                                                         | Hanover                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDDW | BRE  | Bremen Airport                                                          | Bremen                         |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDEB |      | Bad Langensalza Airfield                                                | Bad Langensalza                |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDEH |      | Sonderlandeplatz Herrenteich                                            | Herrenteich                    |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDER |      | Flugplatz Wasserkuppe                                                   | Wasserkuppe                    |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFB |      | Reichelsheim Airport                                                    | Reichelsheim                   |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFC |      | Aschaffenburg Airport                                                   | Aschaffenburg                  |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFE | QEF  | Frankfurt Egelsbach Airport                                             | Frankfurt am Main              |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFG |      | Flugplatz Gelnhausen                                                    | Gelnhausen                     |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFH | HHN  | Frankfurt-Hahn Airport                                                  | Rhineland-Palatinate           |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFK |      | Bad Kissingen Airfield                                                  | Bad Kissingen                  |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFM | MHG  | Mannheim City Airport                                                   | Mannheim                       |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFQ |      | Allendorf Airport                                                       | Allendorf, Waldeck-Frankenberg |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFT |      | Flugplatz Lauterbach                                                    | Lauterbach                     |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFW |      | Airdrome Würzburg-Schenkenturm                                          | Würzburg                       |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFY |      | Flugplatz Elz                                                           | Elz                            |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDFZ | QMZ  | Mainz-Finthen                                                           | Mainz                          |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGA |      | Flugplatz Ailertchen                                                    | Westerburg                     |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGB |      | Flugplatz Breitscheid [de]                                              | Breitscheid                    |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGE |      | Flugplatz Eisenach-Kindel                                               | Hörselberg-Hainich             |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGO |      | Oedheim Heliport                                                        | Oedheim                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGP |      | Oppenheim Airport                                                       | Oppenheim                      |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGS | SGE  | Siegerland Airport                                                      | Burbach                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGX |      | Sonderlandeplatz Walldorf                                               | Walldorf                       |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDGY | KZG  | Kitzingen Airport                                                       | Kitzingen                      |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHE |      | Uetersen Airfield                                                       | Heist                          |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHG |      | Sonderlandeplatz Lüneburg                                               | Lüneburg                       |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHI | XFW  | Hamburg Finkenwerder Airport                                            | Hamburg                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHK | KEL  | Kiel Airport                                                            | Kiel                           |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHL | LBC  | Lübeck Airport                                                          | Lübeck                         |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHM |      | Hartenholm Airport                                                      | Hartenholm                     |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDHS |      | Sonderlandeplatz Stade                                                  | Stade                          |                        |                                                                                                            |
