ICAO,IATA,Airport Name,Community
DBBB,COO,Cadjehoun Airport (Cotonou Airport),Cotonou
DBBC,,Cana Airport,Bohicon
DBBD,DJA,Djougou Airport,Djougou
DBBK,KDC,Kandi Airport,Kandi
DBBN,NAE,Natitingou Airport,Natitingou
DBBO,,Porga Airport,Porga
DBBP,PKO,Parakou Airport,Parakou
DBBR,,Bembereke Airport,Bembereke
DBBS,SVF,Savé Airport,Savé
